x,y
89660.3701,43128.8083
89660.442,43126.7651
89660.509,43124.861
89660.1988,43123.595
89659.6648,43122.514
89658.7661,43121.4686
89657.4947,43120.579
89655.9215,43119.5709
89654.8228,43118.9633
89653.6845,43118.346
89652.6039,43117.7103
89651.7867,43117.1286
89651.092,43116.6193
89649.6781,43116.4009
89648.6402,43116.6203
89646.905,43116.9241
89653.9564,43131.2322
89653.9083,43130.1375
89653.8787,43129.4623
89653.5785,43128.3257
89653.0692,43127.3652
89652.6234,43126.7927
89651.7781,43125.7834
89651.0104,43125.0192
89650.1732,43124.5215
89649.4596,43124.3081
89648.4018,43124.1967
89647.5372,43124.4318
89657.1633,43130.0203
89657.1694,43129.2932
89657.1755,43128.5661
89657.1816,43127.839
89657.1667,43127.1151
89657.0028,43126.408
89656.7709,43125.7222
89656.4131,43125.0924
89655.9839,43124.5098
89655.4563,43124.0224
89654.9056,43123.558
89654.3421,43123.1094
89653.7738,43122.669
89653.1834,43122.2572
89652.5857,43121.854
89651.976,43121.4635
89651.3574,43121.0811
89650.7429,43120.7014
89650.0821,43120.4345
89649.3616,43120.3343
89648.6455,43120.3963
89647.9329,43120.5303
89647.2211,43120.678
89631.0758,43123.4905
89629.9659,43125.3204
89628.6648,43127.4672
89627.0138,43130.0758
89625.1193,43132.9462
89623.1689,43135.706
89621.8171,43137.6276
89620.5968,43139.9483
89618.4066,43143.7031
89617.7493,43144.5923
89617.1128,43145.4788
89616.0385,43147.0511
89615.0733,43148.5169
89614.3003,43149.8639
89613.8498,43150.8018
89613.228,43151.8145
89636.975,43128.0381
89635.7541,43129.9285
89634.486,43131.8999
89633.0198,43134.0843
89631.6166,43136.3632
89629.8394,43139.1876
89627.3175,43143.1404
89625.6871,43145.63
89624.1793,43148.1448
89623.381,43149.4681
89623.0163,43150.0206
89621.9726,43151.5909
89620.6687,43153.6975
89619.4241,43155.5519
89634.0254,43125.7643
89633.5094,43126.5889
89632.9934,43127.4135
89632.478,43128.2385
89631.9629,43129.0636
89631.4438,43129.8863
89630.9128,43130.7012
89630.3817,43131.5162
89629.8569,43132.3352
89629.3338,43133.1553
89628.8107,43133.9753
89628.2848,43134.7937
89627.7491,43135.6054
89627.2091,43136.4141
89626.6685,43137.2225
89626.1261,43138.0298
89625.5843,43138.8375
89625.0426,43139.6453
89624.5469,43140.4811
89624.0578,43141.321
89623.5618,43142.1567
89623.0506,43142.984
89622.5429,43143.8135
89622.0478,43144.6509
89621.5526,43145.4883
89621.0226,43146.3026
89620.4853,43147.1126
89619.9458,43147.9217
89619.4023,43148.7285
89618.8629,43149.538
89618.338,43150.357
89617.8359,43151.19
89617.3414,43152.0269
89616.8514,43152.8647
89616.3261,43153.6832
89621.2873,43189.8181
89623.4225,43191.2812
89624.7226,43191.9947
89625.7822,43192.448
89626.8558,43192.8391
89628.2198,43193.0578
89630.0291,43192.8845
89631.3612,43192.7221
89632.6624,43192.2525
89634.0403,43191.5841
89635.7035,43190.2864
89636.8337,43188.9262
89637.6644,43187.7107
89638.6675,43186.2065
89639.7611,43184.5182
89640.7171,43183.8212
89641.7903,43183.6069
89642.6806,43183.6971
89643.9383,43183.9614
89644.5669,43184.2767
89645.2942,43184.7449
89646.2357,43185.4251
89647.858,43186.5845
89651.2097,43188.7436
89653.5262,43190.2358
89655.97,43191.7475
89657.0868,43192.5939
89658.4252,43193.0886
89660.3646,43193.0885
89661.6473,43192.8586
89662.8409,43192.2026
89663.777,43191.1219
89664.8473,43189.5674
89666.1477,43187.5895
89667.5855,43185.3017
89668.7383,43183.2955
89669.1966,43182.0251
89669.3037,43180.8989
89668.9775,43179.6604
89668.4758,43178.5936
89667.8359,43177.6633
89666.6932,43176.3842
89665.8224,43175.736
89664.8966,43175.0495
89663.1231,43173.9713
89661.5168,43173.0549
89659.7796,43172.0639
89658.0359,43171.2174
89656.1405,43170.5074
89654.6598,43170.3871
89653.3362,43170.2091
89651.9605,43170.1154
89650.3033,43169.9097
89649.3881,43169.6665
89648.3945,43168.9263
89648.2161,43168.3662
89648.4254,43167.0006
89649.3849,43166.2975
89650.2761,43166.0865
89652.123,43165.2829
89652.8833,43164.9766
89625.5691,43183.2153
89625.584,43183.2249
89626.7122,43183.9357
89627.3771,43184.4477
89628.2794,43185.1662
89629.2731,43185.4585
89630.4754,43185.2478
89631.4828,43184.3341
89632.1877,43182.9499
89632.9211,43181.4004
89633.3825,43180.5095
89634.0911,43179.534
89635.0373,43178.7556
89636.3359,43177.7929
89637.4866,43177.4448
89638.6964,43177.0918
89640.1858,43176.9552
89641.5741,43176.9475
89642.9469,43177.0022
89644.4725,43177.2961
89645.8257,43177.5679
89647.4289,43178.0001
89648.9592,43178.4857
89649.8766,43178.8669
89651.0111,43179.4431
89652.2678,43180.1871
89653.4728,43181.0823
89654.5443,43181.9093
89655.3275,43182.5667
89656.0033,43183.1727
89656.837,43183.8298
89657.9012,43184.3307
89658.7756,43184.2819
89659.8638,43183.4191
89660.1525,43181.7532
89660.0042,43181.0438
89658.8994,43180.1271
89657.7105,43179.5059
89656.9676,43179.1782
89656.1372,43178.6837
89655.3219,43178.1274
89654.3098,43177.4369
89652.9351,43176.8122
89651.7407,43176.4758
89650.7344,43176.3329
89649.5091,43176.2117
89648.324,43176.1008
89646.7063,43175.9769
89645.6129,43175.8347
89644.6113,43175.4674
89643.9452,43174.9976
89643.0496,43174.366
89641.5739,43172.3986
89640.7591,43169.9325
89640.5702,43168.7164
89640.5294,43167.6824
89640.7049,43166.2885
89641.0803,43164.93
89641.4382,43164.0589
89641.9595,43163.2508
89642.3959,43162.4319
89643.1937,43161.5376
89644.6194,43160.5758
89649.1205,43158.6549
89650.1544,43158.1744
89623.4282,43186.5845
89624.2147,43187.0351
89624.99,43187.5696
89625.7608,43188.108
89626.5628,43188.5897
89627.4457,43188.9026
89628.3487,43189.0029
89629.195,43188.8893
89629.998,43188.6263
89631.2248,43188.3947
89632.2348,43187.9559
89633.3104,43187.1171
89633.954,43186.1889
89634.5551,43185.2821
89634.9258,43184.4199
89635.4375,43183.6248
89636.0142,43182.7424
